nombre,porcentaje_descuento,precio_mililitro,precio_sin_descuento,spot_price
Vino tinto cruzares x 750 ml,,"$ 14,65",,$ 10.990
Vino tinto cabernet sauvignon gato negro 750 mililitro,,"$ 54,73",,$ 41.050
Vino tinto merlot gato negro 750 mililitro,,"$ 54,07",,$ 40.550
Fashion strawberry jp chenet x 750 ml,,"$ 65,2",,$ 48.900
Vino fashion cassis jp chenet x 700 ml,,"$ 69,86",,$ 48.900
Vino rosado lambrusco reggiano piccini x 750 ml,,"$ 51,47",,$ 38.600
Vino tinto santa rita carmenere tres medallas 750 mililitro,-34 %,"$ 38,85",$ 44.150,$ 29.139
Vino tinto cabernet sauvignon tres medallas 750 mililitro,-34 %,"$ 34,32",$ 39.000,$ 25.740
Vino espumoso rose ice edition jp chenet x 750 ml,,"$ 65,2",,$ 48.900
Vino tinto malbec reserva las moras x 750 ml,,"$ 83,33",,$ 62.500
Vino tinto santa carolina reservado carmenere 750 ml,-34 %,"$ 32,21",$ 36.600,$ 24.156
Vino tinto rosado lambrusco medici ermete x 750 ml,,"$ 33,53",,$ 25.150
Vino tinto roso lambrusco medici ermete x 750 ml,-34 %,"$ 28,29",$ 32.150,$ 21.219
Vino tinto cabernet merlot gato negro botella x 750 ml,,"$ 54,07",,$ 40.550
Vino tinto argentino malbec las moras x 750ml,,"$ 55,27",,$ 41.450
Vino tinto cabernet sauvignon undurraga x 750 ml,-50 %,"$ 39,93",$ 59.900,$ 29.950
Vino tinto cabernet casillero sauvignon x 750 ml,,$ 82,,$ 61.500
Vino dulce sanson x 750 ml,,$ 29,,$ 21.750
Vino tinto gato negro malbec x 750ml,,"$ 54,73",,$ 41.050
Vino tinto santa carolina reservado cabernet sauvignon merlot 750 ml,-34 %,"$ 32,21",$ 36.600,$ 24.156
Vino rojo casillero blend x 750 ml,,$ 82,,$ 61.500
Vino tinto cabernet sauvignon santa rita 120 x 375 ml,-34 %,"$ 54,38",$ 30.900,$ 20.394
Vino blanco sauvignon tocornal 750ml,-34 %,"$ 23,67",$ 26.900,$ 17.754
Vino tinto tocornal chilean red tocornal x 750 ml,-34 %,"$ 23,63",$ 26.850,$ 17.721
Vino syrah rose las moras x 750ml,,"$ 55,93",,$ 41.950
Vino rosado cinsault grenache jp chenet x 750ml,,"$ 69,07",,$ 51.800
Vino espumoso sparkling rose jp chenet x 750ml,,"$ 59,87",,$ 44.900
Vino tinto cabernet gato negro 9 vidas x 750 ml,,,,
Vino tinto lambrusco reggiano piccini x 750 ml,,"$ 54,2",,$ 40.650
Vino bicicleta cono sur pinot noir rosé x 750 ml,,"$ 42,13",,$ 31.600
Vino blanco cruzares x 750 ml,,"$ 14,65",,$ 10.990
Vino blanco sauvignon santa rita tres medallas 750 mililitro,-34 %,"$ 31,02",$ 35.250,$ 23.265
Vino tinto merlot tres medallas x 750 ml,-34 %,"$ 38,63",$ 43.900,$ 28.974
